time_slot,visible_sats
20,"['STARLINK-1098', 'STARLINK-1306', 'STARLINK-2523', 'STARLINK-3752', 'STARLINK-5158', 'STARLINK-5078', 'STARLINK-5311', 'STARLINK-5803', 'STARLINK-30069', 'STARLINK-30078', 'STARLINK-5707', 'STARLINK-6116', 'STARLINK-5950', 'STARLINK-30148', 'STARLINK-30243', 'STARLINK-30334', 'STARLINK-30552', 'STARLINK-30530', 'STARLINK-30919', 'STARLINK-31010', 'STARLINK-31001', 'STARLINK-31234', 'STARLINK-31283', 'STARLINK-31457', 'STARLINK-31581', 'STARLINK-31771', 'STARLINK-31996', 'STARLINK-32199', 'STARLINK-11520 [DTC]', 'STARLINK-33915', 'STARLINK-33926', 'STARLINK-34213', 'STARLINK-34338', 'STARLINK-34696', 'STARLINK-34675', 'STARLINK-34608', 'STARLINK-34685', 'STARLINK-34756', 'STARLINK-34757', 'STARLINK-34676', 'STARLINK-34651']"
21,"['STARLINK-1237', 'STARLINK-1966', 'STARLINK-2523', 'STARLINK-3775', 'STARLINK-3752', 'STARLINK-5158', 'STARLINK-5078', 'STARLINK-5311', 'STARLINK-5803', 'STARLINK-30069', 'STARLINK-5707', 'STARLINK-6116', 'STARLINK-5950', 'STARLINK-30258', 'STARLINK-30148', 'STARLINK-30243', 'STARLINK-30334', 'STARLINK-30552', 'STARLINK-30530', 'STARLINK-30603', 'STARLINK-30919', 'STARLINK-31010', 'STARLINK-31001', 'STARLINK-31234', 'STARLINK-31457', 'STARLINK-31771', 'STARLINK-31996', 'STARLINK-32199', 'STARLINK-11520 [DTC]', 'STARLINK-33914', 'STARLINK-33846', 'STARLINK-34348', 'STARLINK-34337', 'STARLINK-34629', 'STARLINK-34632', 'STARLINK-34662', 'STARLINK-34660', 'STARLINK-34633', 'STARLINK-34756', 'STARLINK-34651', 'STARLINK-34684']"
22,"['STARLINK-1200', 'STARLINK-1298', 'STARLINK-1966', 'STARLINK-2523', 'STARLINK-3752', 'STARLINK-5158', 'STARLINK-5078', 'STARLINK-5311', 'STARLINK-5803', 'STARLINK-6268', 'STARLINK-30069', 'STARLINK-6116', 'STARLINK-5950', 'STARLINK-30258', 'STARLINK-30148', 'STARLINK-30243', 'STARLINK-30334', 'STARLINK-30552', 'STARLINK-30530', 'STARLINK-30603', 'STARLINK-30919', 'STARLINK-31010', 'STARLINK-31001', 'STARLINK-31211', 'STARLINK-31234', 'STARLINK-31996', 'STARLINK-32199', 'STARLINK-11520 [DTC]', 'STARLINK-11632 [DTC]', 'STARLINK-33832', 'STARLINK-33915', 'STARLINK-33914', 'STARLINK-33846', 'STARLINK-34314', 'STARLINK-34693', 'STARLINK-34666', 'STARLINK-34649', 'STARLINK-34620', 'STARLINK-34664', 'STARLINK-34748', 'STARLINK-34690', 'STARLINK-34628', 'STARLINK-34544']"
23,"['STARLINK-2523', 'STARLINK-3752', 'STARLINK-5158', 'STARLINK-5078', 'STARLINK-5311', 'STARLINK-5803', 'STARLINK-30069', 'STARLINK-30258', 'STARLINK-30148', 'STARLINK-30243', 'STARLINK-30334', 'STARLINK-30552', 'STARLINK-30545', 'STARLINK-30530', 'STARLINK-30603', 'STARLINK-30919', 'STARLINK-31010', 'STARLINK-31211', 'STARLINK-31234', 'STARLINK-31483', 'STARLINK-31996', 'STARLINK-32199', 'STARLINK-11520 [DTC]', 'STARLINK-11632 [DTC]', 'STARLINK-33832', 'STARLINK-33783', 'STARLINK-33914', 'STARLINK-33846', 'STARLINK-34213', 'STARLINK-33924', 'STARLINK-34209', 'STARLINK-34348', 'STARLINK-34567', 'STARLINK-34646', 'STARLINK-34641', 'STARLINK-34658', 'STARLINK-34663', 'STARLINK-34608', 'STARLINK-34669', 'STARLINK-34685', 'STARLINK-34723', 'STARLINK-34709', 'STARLINK-34748', 'STARLINK-34575', 'STARLINK-34570']"
24,"['STARLINK-1306', 'STARLINK-1298', 'STARLINK-2523', 'STARLINK-3752', 'STARLINK-4275', 'STARLINK-5158', 'STARLINK-5078', 'STARLINK-5311', 'STARLINK-5803', 'STARLINK-6211', 'STARLINK-30258', 'STARLINK-30148', 'STARLINK-30243', 'STARLINK-30334', 'STARLINK-30552', 'STARLINK-30545', 'STARLINK-30603', 'STARLINK-30919', 'STARLINK-31010', 'STARLINK-31379', 'STARLINK-31211', 'STARLINK-31234', 'STARLINK-31483', 'STARLINK-31540', 'STARLINK-31996', 'STARLINK-32199', 'STARLINK-11520 [DTC]', 'STARLINK-11632 [DTC]', 'STARLINK-33832', 'STARLINK-33915', 'STARLINK-33914', 'STARLINK-33846', 'STARLINK-33924', 'STARLINK-34235', 'STARLINK-34697', 'STARLINK-34662', 'STARLINK-34604', 'STARLINK-34624', 'STARLINK-34675', 'STARLINK-34668', 'STARLINK-34667', 'STARLINK-34723', 'STARLINK-34709', 'STARLINK-34748', 'STARLINK-34722', 'STARLINK-34682', 'STARLINK-34631', 'STARLINK-34578', 'STARLINK-34654', 'STARLINK-34570']"
25,"['STARLINK-1237', 'STARLINK-2437', 'STARLINK-2523', 'STARLINK-3775', 'STARLINK-3752', 'STARLINK-4275', 'STARLINK-4279', 'STARLINK-5158', 'STARLINK-5078', 'STARLINK-5311', 'STARLINK-5803', 'STARLINK-6211', 'STARLINK-30258', 'STARLINK-30148', 'STARLINK-30243', 'STARLINK-30334', 'STARLINK-30552', 'STARLINK-30545', 'STARLINK-30603', 'STARLINK-31379', 'STARLINK-31211', 'STARLINK-31483', 'STARLINK-31540', 'STARLINK-31996', 'STARLINK-32199', 'STARLINK-11632 [DTC]', 'STARLINK-32936', 'STARLINK-33832', 'STARLINK-33914', 'STARLINK-33846', 'STARLINK-34348', 'STARLINK-34283', 'STARLINK-34337', 'STARLINK-34697', 'STARLINK-34649', 'STARLINK-34633', 'STARLINK-34624', 'STARLINK-34725', 'STARLINK-34709', 'STARLINK-34736', 'STARLINK-34722', 'STARLINK-34564', 'STARLINK-34631', 'STARLINK-34578', 'STARLINK-34683']"
26,"['STARLINK-1228', 'STARLINK-2437', 'STARLINK-2606', 'STARLINK-3752', 'STARLINK-3749', 'STARLINK-4275', 'STARLINK-4279', 'STARLINK-5311', 'STARLINK-5287', 'STARLINK-6268', 'STARLINK-6211', 'STARLINK-30258', 'STARLINK-30243', 'STARLINK-30300', 'STARLINK-30334', 'STARLINK-30552', 'STARLINK-30545', 'STARLINK-30535', 'STARLINK-30603', 'STARLINK-31380', 'STARLINK-31379', 'STARLINK-31211', 'STARLINK-31483', 'STARLINK-31540', 'STARLINK-32105', 'STARLINK-32191', 'STARLINK-32199', 'STARLINK-32936', 'STARLINK-33832', 'STARLINK-33915', 'STARLINK-33914', 'STARLINK-33846', 'STARLINK-34314', 'STARLINK-34283', 'STARLINK-34337', 'STARLINK-34632', 'STARLINK-34641', 'STARLINK-34669', 'STARLINK-34685', 'STARLINK-34725', 'STARLINK-34709', 'STARLINK-34736', 'STARLINK-34757', 'STARLINK-34564', 'STARLINK-34683', 'STARLINK-34651', 'STARLINK-34684']"
27,"['STARLINK-1200', 'STARLINK-2643', 'STARLINK-2606', 'STARLINK-3646', 'STARLINK-3749', 'STARLINK-4275', 'STARLINK-4279', 'STARLINK-5311', 'STARLINK-5287', 'STARLINK-30123', 'STARLINK-6211', 'STARLINK-30258', 'STARLINK-30300', 'STARLINK-30334', 'STARLINK-30552', 'STARLINK-30545', 'STARLINK-30535', 'STARLINK-30603', 'STARLINK-30991', 'STARLINK-31380', 'STARLINK-31379', 'STARLINK-31211', 'STARLINK-31483', 'STARLINK-32105', 'STARLINK-32009', 'STARLINK-32191', 'STARLINK-32199', 'STARLINK-32936', 'STARLINK-33832', 'STARLINK-33914', 'STARLINK-33846', 'STARLINK-33926', 'STARLINK-34338', 'STARLINK-34283', 'STARLINK-34629', 'STARLINK-34632', 'STARLINK-34693', 'STARLINK-34666', 'STARLINK-34567', 'STARLINK-34646', 'STARLINK-34604', 'STARLINK-34658', 'STARLINK-34664', 'STARLINK-34663', 'STARLINK-34608', 'STARLINK-34667', 'STARLINK-34757', 'STARLINK-34564', 'STARLINK-34690', 'STARLINK-34628', 'STARLINK-34544']"
28,"['STARLINK-1306', 'STARLINK-1349', 'STARLINK-2643', 'STARLINK-2606', 'STARLINK-3646', 'STARLINK-3558', 'STARLINK-3775', 'STARLINK-3749', 'STARLINK-4275', 'STARLINK-4279', 'STARLINK-5176', 'STARLINK-5287', 'STARLINK-30123', 'STARLINK-6211', 'STARLINK-30258', 'STARLINK-30300', 'STARLINK-30552', 'STARLINK-30545', 'STARLINK-30535', 'STARLINK-30603', 'STARLINK-30991', 'STARLINK-31380', 'STARLINK-31379', 'STARLINK-31483', 'STARLINK-32105', 'STARLINK-32009', 'STARLINK-32191', 'STARLINK-32936', 'STARLINK-33832', 'STARLINK-33558', 'STARLINK-33915', 'STARLINK-33783', 'STARLINK-33914', 'STARLINK-33846', 'STARLINK-34213', 'STARLINK-34209', 'STARLINK-34338', 'STARLINK-34662', 'STARLINK-34660', 'STARLINK-34675', 'STARLINK-34746', 'STARLINK-34676']"
29,"['STARLINK-1237', 'STARLINK-1298', 'STARLINK-1349', 'STARLINK-1966', 'STARLINK-2643', 'STARLINK-2606', 'STARLINK-3646', 'STARLINK-3558', 'STARLINK-3749', 'STARLINK-4275', 'STARLINK-4279', 'STARLINK-5195', 'STARLINK-5176', 'STARLINK-5287', 'STARLINK-5544', 'STARLINK-30123', 'STARLINK-6211', 'STARLINK-30300', 'STARLINK-30552', 'STARLINK-30545', 'STARLINK-30535', 'STARLINK-30991', 'STARLINK-30985', 'STARLINK-31380', 'STARLINK-31379', 'STARLINK-31483', 'STARLINK-32105', 'STARLINK-32009', 'STARLINK-32191', 'STARLINK-32936', 'STARLINK-33832', 'STARLINK-33558', 'STARLINK-33846', 'STARLINK-33926', 'STARLINK-34209', 'STARLINK-34649', 'STARLINK-34620', 'STARLINK-34633', 'STARLINK-34669', 'STARLINK-34685', 'STARLINK-34746', 'STARLINK-34676', 'STARLINK-34682', 'STARLINK-34575', 'STARLINK-34570']"
